SITEID,LAT,LON
2007190307.0,-16.4337,143.8043
2007190308.0,-19.4783,135.2878
2007190309.0,-23.3762,117.0388
2007190310.0,-20.204,121.3139
2007190311.0,-30.5386,115.2264
2007190312.0,-25.6009,142.7897
2007190313.0,-13.8248,130.7263
2007190315.0,-20.3261,119.3061
2007190316.0,-28.8365,114.8258
2007190317.0,-17.3729,124.0278
2007190318.0,-15.1562,144.343
2007190319.0,-42.4472,145.5385
2007190321.0,-18.0045,137.4515
2007190322.0,-17.4075,143.7996
2007190323.0,-12.8,132.7344
2007190324.0,-31.7374,124.4479
2007190325.0,-38.3541,142.4958
2007190326.0,-29.4488,137.7461
2007190327.0,-26.1269,118.2939
2007190328.0,-18.7158,121.9302
2007190329.0,-27.0966,135.5075
2007190331.0,-31.2245,139.6533
2007190332.0,-20.6666,117.9535
2007190333.0,-13.1527,130.5414
2007190334.0,-30.3131,145.619
2007190335.0,-32.6919,145.157
2007190336.0,-23.1731,120.0197
2007190337.0,-18.6619,134.8477
2007190338.0,-27.0475,140.6795
2007190339.0,-22.444,119.664
2007190342.0,-25.1472,116.9345
2007190343.0,-12.5553,143.1587
2007190344.0,-23.0337,141.7384
2007190345.0,-11.2978,132.3044
2007190346.0,-30.0768,147.5615
2007190347.0,-21.0631,137.9789
2007190348.0,-17.5933,143.186
2007190349.0,-20.857,120.6887
2007190350.0,-37.081,140.7937
2007190352.0,-38.6978,145.8815
2007190354.0,-19.4493,121.5819
2007190355.0,-28.6927,120.9417
2007190357.0,-15.0452,135.21
2007190358.0,-33.8599,150.349
2007190359.0,-12.9099,131.6679
2007190361.0,-32.1672,125.3612
2007190363.0,-23.496,129.0363
2007190364.0,-34.1701,142.9943
2007190366.0,-31.0619,152.801
2007190367.0,-17.947,140.181
2007190368.0,-33.0199,149.2815
2007190369.0,-17.9824,137.9685
2007190370.0,-20.7054,118.2928
2007190372.0,-34.2069,144.625
2007190373.0,-22.2831,137.9364
2007190374.0,-16.4852,141.7924
2007190375.0,-28.8937,116.3855
2007190377.0,-15.3595,130.2883
2007190378.0,-34.87,143.87
2007190379.0,-25.3949,132.5496
2007190381.0,-42.78,147.0877
2007190382.0,-21.949,138.4578
2007190383.0,-22.4011,145.129
2007190384.0,-22.9377,132.823
2007190385.0,-25.2378,143.7987
2007190386.0,-21.615,115.9246
2007190387.0,-12.3632,136.7093
2007190389.0,-26.7625,134.5393
2007190390.0,-22.0194,133.9843
2007190391.0,-26.3032,139.3861
2007190392.0,-17.463,141.1887
2007190393.0,-35.3967,143.649
2007190394.0,-33.0336,146.6446
2007190395.0,-31.3524,123.6103
2007190396.0,-32.3173,150.7568
2007190398.0,-28.7493,122.1932
2007190399.0,-16.7679,131.2421
2007190401.0,-25.0221,150.1154
2007190402.0,-21.3427,119.3524
2007190403.0,-26.963,150.8659
2007190404.0,-24.8073,152.1812
2007190406.0,-21.531,147.0484
2007190407.0,-25.8965,138.852
2007190408.0,-33.3153,115.8367
2007190410.0,-32.3271,124.8986
2007190411.0,-23.4654,117.5725
2007190412.0,-34.699,139.4938
2007190413.0,-18.1646,139.1362
2007190414.0,-36.0375,144.3091
2007190418.0,-31.1398,118.4779
2007190419.0,-18.5773,136.116
2007190421.0,-33.7718,119.9573
2007190422.0,-28.9758,144.4114
2007190423.0,-29.4139,139.5179
2007190424.0,-31.3918,140.7176
2007190425.0,-33.1569,147.4515
2007190426.0,-31.851,147.1322
2007190427.0,-34.2188,135.5543
2007190428.0,-21.1813,136.172
2007190429.0,-33.3609,150.9468
2007190430.0,-28.0591,145.6832
2007190431.0,-30.5478,141.0262
2007190432.0,-26.559,120.0312
2007190433.0,-15.2002,144.4336
2007190434.0,-32.3446,121.7056
2007190435.0,-22.9733,149.2411
2007190436.0,-33.7594,121.5597
2007190437.0,-23.6237,117.587
2007190438.0,-16.8575,145.7147
2007190439.0,-34.528,138.4622
2007190441.0,-20.4519,137.8378
2007190442.0,-25.768,137.2317
2007190444.0,-32.4926,149.2693
2007190445.0,-20.6988,141.4926
2007190446.0,-26.3715,136.9148
2007190447.0,-27.5286,144.0852
2007190448.0,-22.9118,132.2717
2007190450.0,-32.1126,123.7398
2007190451.0,-25.6814,142.1746
2007190452.0,-36.5163,150.031
2007190453.0,-16.9931,144.3018
2007190454.0,-30.5436,131.0606
2007190455.0,-20.6699,147.6576
2007190456.0,-29.6179,120.9301
2007190457.0,-35.5403,138.5768
2007190458.0,-18.561,140.7191
2007190459.0,-32.7888,118.5908
