SITEID,LAT,LON,catchment_km2,pct_in_hallscreek
2007191032,-16.753,123.995,2319.0,74.9
2007190966,-17.347,124.367,6933.0,66.4
2007190565,-17.939,123.743,90742.0,21.0
2007191043,-17.738,123.645,92034.0,20.7
2007190785,-15.325,129.089,4688.0,10.2
