Variable	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
SiO2 (wt%)	60.91	62.35	65.32	64.71	60.23	63.18	59.70	65.51	68.07	65.22	72.63	54.00	64.97	64.80	62.51	63.49	65.85	62.05	76.97	62.89
TiO2 (wt%)	0.92	0.89	1.04	1.02	0.75	1.00	0.85	2.01	0.84	0.90	0.69	1.13	0.90	0.89	0.71	0.79	0.88	1.16	0.40	1.10
Al2O3 (wt%)	14.34	12.15	10.51	13.93	15.00	13.50	12.99	11.41	11.57	13.07	10.14	14.90	13.35	14.88	16.13	16.58	14.38	13.63	8.66	13.94
Fe2O3 (wt%)	5.43	5.89	6.88	5.97	5.18	5.38	5.60	6.52	5.23	5.51	3.05	6.62	5.38	5.32	5.23	5.44	5.22	6.97	2.17	6.87
MnO (wt%)	0.07	0.08	0.19	0.10	0.06	0.10	0.07	0.11	0.12	0.08	0.06	0.09	0.07	0.08	0.07	0.12	0.07	0.10	0.04	0.08
MgO (wt%)	2.29	2.48	1.85	2.26	2.09	1.89	1.97	1.59	1.88	1.96	1.59	3.18	2.12	2.53	2.47	2.34	2.24	2.34	1.04	1.98
CaO (wt%)	2.05	4.04	2.56	2.48	1.96	2.56	1.63	3.70	2.29	1.96	3.04	4.45	2.41	2.06	1.48	1.13	2.05	2.76	1.03	2.23
Na2O (wt%)	1.65	1.41	1.28	1.27	1.26	1.89	0.99	1.39	1.82	1.36	1.42	1.30	1.04	0.70	1.82	1.41	1.13	1.61	1.23	1.16
K2O (wt%)	2.70	2.06	1.73	2.50	2.95	2.43	1.99	1.59	1.97	1.93	1.94	2.43	2.47	2.11	3.56	3.33	2.61	2.13	1.34	2.71
P2O5 (wt%)	0.09	0.13	0.08	0.11	0.12	0.10	0.08	0.08	0.11	0.10	0.09	0.13	0.15	0.09	0.11	0.10	0.10	0.15	0.06	0.19
Sc (ppm)	13.00	9.00	9.00	13.00	11.00	14.00	8.00	13.00	7.00	9.00	9.00	16.00	11.00	13.00	12.00	11.00	12.00	14.00	9.00	13.00
V (ppm)	83.00	113.0	133.0	81.00	80.00	83.00	84.00	110.0	107.0	69.00	59.00	112.0	94.00	84.00	80.00	82.00	79.00	103.0	41.00	115.0
Cr (ppm)	108.0	90.00	101.0	73.00	99.00	85.00	100.0	103.0	91.00	107.0	92.00	104.0	100.0	113.0	78.00	93.00	92.00	147.0	33.00	74.00
Co (ppm)	13.00	16.00	17.00	16.00	13.00	15.00	15.00	18.00	13.00	14.00	18.00	19.00	26.00	19.00	21.00	16.00	20.00	19.00	19.00	31.00
Ni (ppm)	31.00	24.00	17.00	36.00	35.00	28.00	34.00	32.00	14.00	35.00	31.00	37.00	37.00	47.00	34.00	30.00	36.00	41.00	27.00	38.00
Cu (ppm)	36.00	18.00	66.00	26.00	35.00	20.00	25.00	18.00	13.00	26.00	21.00	21.00	20.00	24.00	24.00	26.00	24.00	38.00	20.00	19.00
Zn (ppm)	56.00	62.00	244.0	67.00	65.00	55.00	79.00	65.00	72.00	67.00	44.00	64.00	76.00	62.00	86.00	63.00	64.00	86.00	37.00	71.00
Ga (ppm)	19.00	16.00	13.00	16.00	21.00	16.00	19.00	16.00	13.00	17.00	19.00	16.00	25.00	23.00	16.00	22.00	24.00	20.00	14.00	20.00
Rb (ppm)	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–
Sr (ppm)	115.0	162.0	85.00	179.0	126.0	134.0	135.0	146.0	120.0	173.0	179.0	169.0	141.0	124.0	102.0	103.0	138.0	144.0	125.0	134.0
Y (ppm)	43.00	32.00	30.00	89.00	52.00	49.00	36.00	57.00	30.00	44.00	31.00	60.00	36.00	34.00	24.00	24.00	40.00	42.00	18.00	44.00
Zr (ppm)	550.0	440.0	453.0	639.0	397.0	489.0	563.0	919.0	525.0	682.0	417.0	726.0	658.0	462.0	185.0	242.0	682.0	492.0	299.0	513.0
Nb (ppm)	17.00	12.00	9.00	26.00	16.00	25.00	17.00	33.00	11.00	17.00	15.00	21.00	16.00	14.00	14.00	15.00	16.00	24.00	10.00	16.00
Cs (ppm)	5.00	5.00	11.00	5.00	5.00	10.00	5.00	12.00	5.00	5.00	3.77	5.00	–	4.87	4.86	5.98	4.14	10.00	2.74	–
Ba (ppm)	434.0	446.0	362.0	541.0	413.0	365.0	454.0	355.0	448.0	432.0	386.0	420.0	527.0	355.0	351.0	350.0	462.0	380.0	327.0	707.0
La (ppm)	146.1	75.83	140.4	156.8	171.7	206.8	89.90	272.6	98.08	154.8	54.38	111.7	114.7	74.99	66.41	108.5	140.1	104.5	43.69	73.20
Ce (ppm)	274.4	158.2	259.9	290.6	318.9	413.4	170.0	481.1	177.7	278.8	101.3	211.1	211.8	143.9	120.9	198.2	275.6	198.7	81.82	132.3
Pr (ppm)	30.30	17.54	29.06	31.58	41.13	46.46	18.90	53.32	19.50	31.42	12.15	23.96	25.89	16.65	14.10	22.67	32.45	22.29	9.41	15.87
Nd (ppm)	115.9	67.48	112.4	120.8	133.5	172.1	71.95	204.0	74.09	120.0	46.44	91.28	101.6	63.70	54.90	87.50	123.3	89.68	36.00	64.60
Sm (ppm)	21.35	11.99	20.30	21.97	24.04	31.00	12.55	36.42	13.25	21.11	8.24	14.88	15.82	11.52	9.86	15.17	20.45	16.49	6.15	12.05
Eu (ppm)	3.00	1.93	2.55	2.65	2.92	3.39	1.94	4.21	1.96	2.29	1.27	2.71	1.91	1.79	1.54	2.40	2.09	2.40	1.07	2.27
Gd (ppm)	19.37	10.52	15.93	19.78	21.64	25.34	10.12	29.91	11.33	15.72	6.54	12.51	11.96	8.51	7.83	12.19	14.97	15.07	5.05	10.27
Tb (ppm)	2.83	1.65	2.58	2.87	3.16	4.00	1.52	4.64	1.80	2.46	1.13	2.18	1.74	1.46	1.20	1.67	2.16	2.32	0.77	1.76
Dy (ppm)	13.56	8.33	12.52	13.66	15.31	18.55	6.96	20.85	8.78	10.99	6.61	9.47	7.93	6.83	5.36	7.23	9.79	11.98	3.99	9.51
Ho (ppm)	2.60	1.68	2.45	2.68	2.97	3.52	1.44	3.94	1.79	2.16	1.16	1.98	1.39	1.22	0.93	1.20	1.63	2.47	0.71	1.70
Er (ppm)	6.50	4.49	6.42	6.76	7.54	9.04	4.10	10.69	4.76	5.99	3.50	4.93	4.16	3.82	2.87	3.64	4.75	6.30	2.14	5.23
Yb (ppm)	6.32	4.41	6.05	6.52	7.27	8.28	3.78	9.60	4.82	5.71	3.50	4.57	3.87	3.80	2.52	3.06	3.97	6.22	2.27	5.06
Lu (ppm)	0.88	0.63	0.87	0.93	1.00	1.17	0.54	1.33	0.68	0.82	0.53	0.95	0.55	0.59	0.36	0.45	0.65	0.86	0.32	0.74
Hf (ppm)	16.88	14.13	17.73	16.47	8.99	17.19	18.96	27.87	15.58	21.10	17.83	12.91	17.44	18.48	5.75	8.42	27.48	12.21	11.21	17.71
Ta (ppm)	1.69	1.33	1.93	1.43	1.23	4.17	1.22	3.16	1.31	1.48	1.28	0.86	1.28	1.50	1.41	2.13	1.44	1.98	1.07	1.39
Pb (ppm)	28.00	9.00	71.00	23.00	29.00	31.00	21.00	25.00	23.00	21.00	20.00	17.00	17.00	17.00	29.00	21.00	18.00	20.00	25.00	14.00
Th (ppm)	33.00	11.00	21.00	35.00	38.00	44.00	25.00	56.00	17.00	45.00	16.00	27.00	42.00	15.00	21.00	24.00	37.00	25.00	8.00	15.00
U (ppm)	9.75	4.62	7.88	7.47	11.13	12.93	3.64	16.11	5.15	7.14	3.76	3.29	3.84	3.81	4.42	4.60	4.59	4.80	2.94	2.62
