lat,lon,catchment_km2,pct_in_domain,id
-32.5727,118.4508,6468.1,0.0,2007190073.0
-31.6723,121.6198,275.3,0.0,2007190664.0
-30.3002,115.1967,3540.8,0.0,2007190959.0
-33.518,116.8065,13877.6,0.0,2007190954.0
-30.938,116.0506,9662.9,0.0,2007190953.0
-32.7609,115.906,7024.1,0.0,2007190086.0
-31.3509,120.2086,228.1,0.0,2007190901.0
-31.6287,115.7298,28.8,0.0,2007190101.0
-25.6406,119.8766,3469.7,0.0,2007190190.0
-33.8296,120.7941,2393.5,0.0,2007190889.0
-27.6989,117.984,113.7,0.0,2007190881.0
-29.545,116.7141,2380.7,0.0,2007190861.0
-26.0518,121.9344,591.4,0.0,2007190147.0
-27.1987,119.9535,3226.6,0.0,2007190827.0
-32.1209,116.0335,931.7,0.0,2007190810.0
-31.8462,119.9992,508.9,0.0,2007190805.0
-25.7527,114.2024,1283.2,0.0,2007190803.0
-30.9285,117.3828,236.0,0.0,2007190769.0
-33.6102,115.5585,234.8,0.0,2007190726.0
-30.9629,121.2917,2020.0,0.0,2007190717.0
-33.4026,117.7419,5959.0,0.0,2007190707.0
-28.7678,114.7232,1952.1,0.0,2007190702.0
-32.1223,118.2078,3626.2,0.0,2007190701.0
-27.3952,114.1369,109.6,0.0,2007190693.0
-25.9963,114.316,2130.6,0.0,2007190691.0
-33.8291,120.7939,2393.5,0.0,2007190834.0
