lat,lon,catchment_km2,pct_in_domain,id
-20.6666,117.9535,2222.8,0.0,2007190332.0
-18.7158,121.9302,322.8,0.0,2007190328.0
-17.3729,124.0278,1428.1,0.0,2007190317.0
-23.8917,113.9952,1721.2,0.0,2007190281.0
-27.8455,123.7271,2598.9,0.0,2007190547.0
-20.9514,117.4412,1759.6,0.0,2007190267.0
-27.2707,122.9383,1557.0,0.0,2007190238.0
-20.8551,119.7656,7021.5,0.0,2007190206.0
-27.4302,116.8246,4460.6,0.0,2007190203.0
-17.0774,124.0679,1313.1,0.0,2007190197.0
-26.708,114.6715,715.0,0.0,2007190176.0
-26.4977,121.6282,5140.3,0.0,2007190151.0
-22.851,129.2329,291.2,0.0,2007190146.0
-19.7679,129.3222,970.9,0.0,2007190063.0
-20.5204,118.4963,3584.7,0.0,2007190050.0
-16.8116,122.8996,280.7,0.0,2007190024.0
-20.7195,120.9245,125.0,0.0,2007190017.0
-19.7422,121.2004,825.5,0.0,2007190535.0
-25.5157,123.0358,2798.5,0.0,2007190549.0
-15.67,129.8959,11516.4,0.0,2007190963.0
-27.1987,119.9535,3226.6,0.0,2007190827.0
-17.0783,124.0675,1313.1,0.0,2007190962.0
-21.6439,129.6783,119.1,0.0,2007190946.0
-17.6611,123.3923,1069.8,0.0,2007190942.0
-26.289,116.8887,4355.3,0.0,2007190928.0
-27.3875,117.765,5162.3,0.0,2007190914.0
-20.0537,119.3111,203.0,0.0,2007190904.0
-26.546,115.4845,4523.9,0.0,2007190883.0
-27.6989,117.984,113.7,0.0,2007190881.0
-20.876,116.5133,403.8,0.0,2007190859.0
-26.6075,118.1663,239.0,0.0,2007190855.0
-16.7362,123.9094,290.2,0.0,2007190850.0
-19.9877,120.2173,199.3,0.0,2007190829.0
-20.9023,129.3486,636.3,0.0,2007190826.0
-14.1848,129.6513,128.2,0.0,2007190554.0
-25.7527,114.2024,1283.2,0.0,2007190803.0
-27.3757,115.9283,9635.7,0.0,2007190793.0
-15.3254,129.0887,4687.8,0.0,2007190785.0
-24.263,129.7858,687.2,0.0,2007190754.0
-14.1842,129.6507,128.2,0.0,2007190752.0
-20.9459,117.6112,4752.7,0.0,2007190706.0
-27.3952,114.1369,109.6,0.0,2007190693.0
-25.9963,114.316,2130.6,0.0,2007190691.0
-24.2784,129.6551,2860.3,0.0,2007190673.0
-22.386,114.0508,268.0,0.0,2007190634.0
-20.8495,116.6073,2083.5,0.0,2007190588.0
-27.2157,124.4111,3494.5,0.0,2007190575.0
-18.7148,121.9302,322.8,0.0,2007191598.0
